Año Cuenta Pública,Grupo Funcional,Sector,Ente Fiscalizado,Entidad Federativa,Tipo Auditoría,Número,Título,Universo (miles pesos),Muestra (miles pesos),Ente a quien se dirige la Acción,Tipo Acción,Clave Acción,Acción Superveniente,Texto Acción,Estado de Trámite,Auditorías,Acciones
2017,Gasto Federalizado,Gobernación,Secretaría de Gobernación,Ciudad de México,Cumplimiento Financiero con Enfoque de Desempeño,27,Participación Social en Seguridad Pública,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Hacienda y Crédito Público,Secretaría de Hacienda y Crédito Público,Ciudad de México,Cumplimiento Financiero,39,Distribución de las Participaciones Federales,"772,417,563.20","672,214,045.70",-,-,,,,,1,0
2017,Gasto Federalizado,Hacienda y Crédito Público,Secretaría de Hacienda y Crédito Público,Ciudad de México,Cumplimiento Financiero,43,Fondo de Capitalidad,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Hacienda y Crédito Público,Secretaría de Hacienda y Crédito Público,Ciudad de México,Cumplimiento Financiero,46,Fortalecimiento Financiero,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Hacienda y Crédito Público,Secretaría de Hacienda y Crédito Público,Ciudad de México,Cumplimiento Financiero,56,Participaciones Federales a Entidades Federativas,-,-,Secretaría de Hacienda y Crédito Público,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,1
2017,Gasto Federalizado,Hacienda y Crédito Público,Secretaría de Hacienda y Crédito Público,Ciudad de México,Cumplimiento Financiero,60,Recursos del Fondo de Aportaciones para el Fortalecimiento de las Entidades Federativas,-,-,-,-,,,,,1,0
2017,Gasto Federalizado,Hacienda y Crédito Público,Secretaría de Hacienda y Crédito Público,Ciudad de México,Cumplimiento Financiero con Enfoque de Desempeño,67,Sistema de Evaluación del Desempeño del Gasto Federalizado,"164,396.20","164,396.20",Secretaría de Hacienda y Crédito Público,Recomendación,,,,,1,2
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Benemérita Universidad Autónoma de Puebla,Puebla,Cumplimiento Financiero,183,Subsidios Federales para Organismos Descentralizados Estatales,"3,925,935.40","2,144,980.60",-,-,,,,,1,0
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Instituto Tecnológico Superior de Centla,Tabasco,Forense,1610,"Convenios de Coordinación, Colaboración y Acuerdos Específicos Suscritos con la Administración Pública Federal para el Desarrollo de Diversos Proyectos, Adquisiciones y Otros Servicios","78,114.50","78,114.50",Gobierno del Estado de Tabasco,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,3
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Instituto Tecnológico Superior de Centla,Tabasco,Forense,1610,"Convenios de Coordinación, Colaboración y Acuerdos Específicos Suscritos con la Administración Pública Federal para el Desarrollo de Diversos Proyectos, Adquisiciones y Otros Servicios","78,114.50","78,114.50",Instituto Tecnológico Superior de Centla,Informe de Presunta Responsabilidad Administrativa,,,,,1,2
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Instituto Tecnológico Superior de Centla,Tabasco,Forense,1610,"Convenios de Coordinación, Colaboración y Acuerdos Específicos Suscritos con la Administración Pública Federal para el Desarrollo de Diversos Proyectos, Adquisiciones y Otros Servicios","78,114.50","78,114.50",Instituto Tecnológico Superior de Centla,Pliego de Observaciones,2017-4-99371-12-1610-06-003,-,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 34,331,986.40 pesos ( treinta y cuatro millones trescientos treinta y un mil novecientos ochenta y seis pesos 40/100 m.n. ), por la autorización y pago de recursos públicos federales a siete empresas subcontratadas, toda vez que no presentaron la documentación justificativa y comprobatoria que acreditara fehacientemente la prestación de los servicios convenidos y supuestamente devengados en 2016, relativos al Convenio de Colaboración y su anexo técnico, suscritos el 1 de julio de 2016, con la Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU) al amparo del artículo 1 de la Ley de Adquisiciones, Arrendamientos y Servicios del Sector Público y 4 de su Reglamento.
",En seguimiento,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Instituto Tecnológico Superior de Centla,Tabasco,Forense,1610,"Convenios de Coordinación, Colaboración y Acuerdos Específicos Suscritos con la Administración Pública Federal para el Desarrollo de Diversos Proyectos, Adquisiciones y Otros Servicios","78,114.50","78,114.50",Instituto Tecnológico Superior de Centla,Pliego de Observaciones,2017-4-99371-12-1610-06-002,2017-4-99371-12-1610-15-002/EPRA/0157/2020,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 735,149.87 pesos ( setecientos treinta y cinco mil ciento cuarenta y nueve pesos 87/100 m.n. ), por no presentar la documentación justificativa y comprobatoria que acredite la aplicación de los recursos públicos federales que le fueron pagados al amparo del Convenio de Colaboración y sus anexos técnicos del 1 de marzo de 2017, celebrado con la Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación (SAGARPA), en términos del artículo 1 de la Ley de Adquisiciones, Arrendamientos y Servicios del Sector Público y 4 de su Reglamento. 
",Con seguimiento concluido,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Instituto Tecnológico Superior de Centla,Tabasco,Forense,1610,"Convenios de Coordinación, Colaboración y Acuerdos Específicos Suscritos con la Administración Pública Federal para el Desarrollo de Diversos Proyectos, Adquisiciones y Otros Servicios","78,114.50","78,114.50",Instituto Tecnológico Superior de Centla,Pliego de Observaciones,2017-4-99371-12-1610-06-004,-,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 2,696,572.19 pesos ( dos millones seiscientos noventa y seis mil quinientos setenta y dos pesos 19/100 m.n. ), por no presentar la documentación justificativa y comprobatoria que acredite la aplicación de los recursos públicos federales que le fueron pagados al amparo del Convenio de Colaboración y su anexo técnico, suscrito el 1 de julio de 2016, celebrado con la Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU), en términos del artículo 1 de la Ley de Adquisiciones, Arrendamientos y Servicios del Sector Público y 4 de su Reglamento.
",En seguimiento,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Instituto Tecnológico Superior de Centla,Tabasco,Forense,1610,"Convenios de Coordinación, Colaboración y Acuerdos Específicos Suscritos con la Administración Pública Federal para el Desarrollo de Diversos Proyectos, Adquisiciones y Otros Servicios","78,114.50","78,114.50",Instituto Tecnológico Superior de Centla,Pliego de Observaciones,2017-4-99371-12-1610-06-001,2017-4-99371-12-1610-15-001/EPRA/0099/2020,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 9,764,850.13 pesos ( nueve millones setecientos sesenta y cuatro mil ochocientos cincuenta pesos 13/100 m.n. ), por la autorización y pago de recursos públicos federales a nueve empresas subcontratadas, toda vez que no presentaron documentación justificativa y comprobatoria que acreditara fehacientemente que realizaron servicio alguno en favor del instituto; además de que las nueve empresas no contaban con la capacidad técnica y económica para prestar los servicios subcontratados; omitiendo vigilar y supervisar el cumplimiento del Convenio de Colaboración y sus anexos técnicos del 1 de marzo de 2017, suscrito con la Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación (SAGARPA) al amparo del artículo 1 de la Ley de Adquisiciones, Arrendamientos y Servicios del Sector Público y 4 de su Reglamento.",Con seguimiento concluido,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Instituto Tecnológico Superior de Centla,Tabasco,Forense,1610,"Convenios de Coordinación, Colaboración y Acuerdos Específicos Suscritos con la Administración Pública Federal para el Desarrollo de Diversos Proyectos, Adquisiciones y Otros Servicios","78,114.50","78,114.50",Instituto Tecnológico Superior de Centla,Pliego de Observaciones,2017-4-99371-12-1610-06-005,-,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 334,880.06 pesos ( trescientos treinta y cuatro mil ochocientos ochenta pesos 06/100 m.n. ), por la autorización y pago de recursos públicos federales a tres empresas subcontratadas, toda vez que no presentaron la documentación justificativa y comprobatoria que acreditara fehacientemente la prestación de los servicios convenidos y supuestamente devengados en 2017, con el Banco Nacional de Obras y Servicios Públicos (BANOBRAS).",En seguimiento,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Instituto Tecnológico Superior de Centla,Tabasco,Forense,1610,"Convenios de Coordinación, Colaboración y Acuerdos Específicos Suscritos con la Administración Pública Federal para el Desarrollo de Diversos Proyectos, Adquisiciones y Otros Servicios","78,114.50","78,114.50",Instituto Tecnológico Superior de Centla,Recomendación,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Instituto Tecnológico Superior de Centla,Tabasco,Forense,1610,"Convenios de Coordinación, Colaboración y Acuerdos Específicos Suscritos con la Administración Pública Federal para el Desarrollo de Diversos Proyectos, Adquisiciones y Otros Servicios","78,114.50","78,114.50",Servicio de Administración Tributaria,Promoción del Ejercicio de la Facultad de Comprobación Fiscal,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,"Universidad Autónoma ""Benito Juárez"" de Oaxaca",Oaxaca,Cumplimiento Financiero,184,Subsidios Federales para Organismos Descentralizados Estatales,"894,097.60","878,536.40","Universidad Autónoma ""Benito Juárez"" de Oaxaca",Informe de Presunta Responsabilidad Administrativa,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,"Universidad Autónoma ""Benito Juárez"" de Oaxaca",Oaxaca,Cumplimiento Financiero,184,Subsidios Federales para Organismos Descentralizados Estatales,"894,097.60","878,536.40","Universidad Autónoma ""Benito Juárez"" de Oaxaca",Pliego de Observaciones,2017-4-99055-15-0184-06-002,-,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 1,824,912.00 pesos ( un millón ochocientos veinticuatro mil novecientos doce pesos 00/100 m.n. ), más los rendimientos financieros generados desde su disposición hasta su reintegro a la Tesorería de la Federación, por concepto de pagos efectuados sin evidencia documental de que los bienes y servicios fueron recibidos.",Conclusión,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,"Universidad Autónoma ""Benito Juárez"" de Oaxaca",Oaxaca,Cumplimiento Financiero,184,Subsidios Federales para Organismos Descentralizados Estatales,"894,097.60","878,536.40","Universidad Autónoma ""Benito Juárez"" de Oaxaca",Pliego de Observaciones,2017-4-99055-15-0184-06-001,2017-4-99055-15-0184-15-001/EPRA/0282/2020,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 2,072,319.76 pesos ( dos millones setenta y dos mil trescientos diecinueve pesos 76/100 m.n. ), más los rendimientos financieros generados desde su disposición hasta su reintegro a la Tesorería de la Federación, por pagos realizados por concepto de salarios a personal que no se localizó en su lugar de trabajo.",Con seguimiento concluido,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Aguascalientes,Aguascalientes,Cumplimiento Financiero,185,Subsidios Federales para Organismos Descentralizados Estatales,"791,326.20","617,221.30",Universidad Autónoma de Aguascalientes,Informe de Presunta Responsabilidad Administrativa,,,,,1,2
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Aguascalientes,Aguascalientes,Cumplimiento Financiero,185,Subsidios Federales para Organismos Descentralizados Estatales,"791,326.20","617,221.30",Universidad Autónoma de Aguascalientes,Pliego de Observaciones,2017-4-99017-15-0185-06-001,2017-4-99017-15-0185-15-001/EPRA/0172/2019,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 52,372,278.78 pesos ( cincuenta y dos millones trescientos setenta y dos mil doscientos setenta y ocho pesos 78/100 m.n. ), más los rendimientos financieros generados desde su disposición hasta su reintegro a la cuenta de la Tesorería de la Federación, por el pago de 359 plazas de categorías de personal administrativo y de mandos medios no contempladas en el catálogo de puestos ni autorizadas por la Secretaría de Educación Pública tampoco por el Consejo Universitario.",Con seguimiento concluido,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Aguascalientes,Aguascalientes,Cumplimiento Financiero,185,Subsidios Federales para Organismos Descentralizados Estatales,"791,326.20","617,221.30",Universidad Autónoma de Aguascalientes,Pliego de Observaciones,2017-4-99017-15-0185-06-002,2017-4-99017-15-0185-15-002/EPRA/0179/2019,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 44,342,919.63 pesos ( cuarenta y cuatro millones trescientos cuarenta y dos mil novecientos diecinueve pesos 63/100 m.n. ), más los rendimientos financieros generados desde su disposición hasta su reintegro a la cuenta de la Tesorería de la Federación, por pagos superiores a los establecidos en el tabulador autorizado de 1,977 trabajadores.",Con seguimiento concluido,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Baja California,Baja California,Cumplimiento Financiero,186,Subsidios Federales para Organismos Descentralizados Estatales,"1,570,214.20","1,014,084.70",Gobierno del Estado de Baja California,Pliego de Observaciones,2017-A-02000-15-0186-06-001,-,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 768,661.33 pesos ( setecientos sesenta y ocho mil seiscientos sesenta y un pesos 33/100 m.n. ), más los rendimientos financieros generados desde su disposición hasta su reintegro a la cuenta de la Tesorería de la Federación, por rendimientos financieros generados de los recursos del Subsidio Federal para Organismos Descentralizados Estatales (U006) 2017 en la cuenta de la Secretaría de Planeación y Finanzas que no se transfirieron a la Universidad Autónoma de Baja California.",Con seguimiento concluido,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Baja California,Baja California,Cumplimiento Financiero,186,Subsidios Federales para Organismos Descentralizados Estatales,"1,570,214.20","1,014,084.70",Gobierno del Estado de Baja California,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,2
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Baja California Sur,Baja California Sur,Cumplimiento Financiero,187,Subsidios Federales para Organismos Descentralizados Estatales,"473,046.80","473,046.80",Gobierno del Estado de Baja California Sur,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,2
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Campeche,Campeche,Cumplimiento Financiero,188,Subsidios Federales para Organismos Descentralizados Estatales,"603,348.20","498,527.00",Gobierno del Estado de Campeche,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Campeche,Campeche,Cumplimiento Financiero,188,Subsidios Federales para Organismos Descentralizados Estatales,"603,348.20","498,527.00",Universidad Autónoma de Campeche,Informe de Presunta Responsabilidad Administrativa,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Campeche,Campeche,Cumplimiento Financiero,188,Subsidios Federales para Organismos Descentralizados Estatales,"603,348.20","498,527.00",Universidad Autónoma de Campeche,Pliego de Observaciones,2017-4-99013-15-0188-06-001,2017-4-99013-15-0188-15-001/EPRA/0124/2019,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 33,826,503.67 pesos ( treinta y tres millones ochocientos veintiséis mil quinientos tres pesos 67/100 m.n. ), más los rendimientos financieros que se generen desde su disposición hasta su reintegro a la cuenta bancaria de la Tesorería de la Federación, por realizar pagos posteriores al 31 de marzo de 2018, con recursos no ejercidos derivados de la recisión de un contrato de obra pública el 19 de abril de 2018; así como, con los rendimientos financieros generados en la cuenta y los recursos no comprometidos al 31 de diciembre de 2017.",Con seguimiento concluido,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Chiapas,Chiapas,Cumplimiento Financiero,189,Subsidios Federales para Organismos Descentralizados Estatales,"986,350.20","936,221.80",Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,Promoción del Ejercicio de la Facultad de Comprobación Fiscal,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Chiapas,Chiapas,Cumplimiento Financiero,189,Subsidios Federales para Organismos Descentralizados Estatales,"986,350.20","936,221.80",Servicio de Administración Tributaria,Promoción del Ejercicio de la Facultad de Comprobación Fiscal,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Chihuahua,Chihuahua,Cumplimiento Financiero,190,Subsidios Federales para Organismos Descentralizados Estatales,"834,601.30","834,240.90",Gobierno del Estado de Chihuahua,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Chihuahua,Chihuahua,Cumplimiento Financiero,190,Subsidios Federales para Organismos Descentralizados Estatales,"834,601.30","834,240.90",Universidad Autónoma de Chihuahua,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Chihuahua,Chihuahua,Cumplimiento Financiero,190,Subsidios Federales para Organismos Descentralizados Estatales,"834,601.30","834,240.90",Universidad Autónoma de Chihuahua,Recomendación,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Coahuila,Coahuila de Zaragoza,Cumplimiento Financiero,191,Subsidios Federales para Organismos Descentralizados Estatales,"1,319,029.00","1,111,024.90",Gobierno del Estado de Coahuila de Zaragoza,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,2
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Coahuila,Coahuila de Zaragoza,Cumplimiento Financiero,191,Subsidios Federales para Organismos Descentralizados Estatales,"1,319,029.00","1,111,024.90",Universidad Autónoma de Coahuila,Pliego de Observaciones,2017-4-99018-15-0191-06-001,-,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 2,573,574.46 pesos ( dos millones quinientos setenta y tres mil quinientos setenta y cuatro pesos 46/100 m.n. ), para su reintegro a la cuenta de la Tesorería de la Federación, correspondientes a rendimientos financieros generados del Subsidio Federal para Organismos Descentralizados Estatales 2017 no devengados ni pagados al 31 de marzo de 2018.",En seguimiento,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Coahuila,Coahuila de Zaragoza,Cumplimiento Financiero,191,Subsidios Federales para Organismos Descentralizados Estatales,"1,319,029.00","1,111,024.90",Universidad Autónoma de Coahuila,Pliego de Observaciones,2017-4-99018-15-0191-06-003,-,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 1,405,933.40 pesos ( un millón cuatrocientos cinco mil novecientos treinta y tres pesos 40/100 m.n. ), más los rendimientos financieros que se generen desde su disposición hasta su reintegro a la cuenta de la Tesorería de la Federación, por el pago de multas, recargos y actualizaciones por enteros extemporáneos con los recursos del Subsidio Federal para Organismos Descentralizados Estatales 2017.",Con seguimiento concluido,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Coahuila,Coahuila de Zaragoza,Cumplimiento Financiero,191,Subsidios Federales para Organismos Descentralizados Estatales,"1,319,029.00","1,111,024.90",Universidad Autónoma de Coahuila,Pliego de Observaciones,2017-4-99018-15-0191-06-002,-,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 38,565,167.82 pesos ( treinta y ocho millones quinientos sesenta y cinco mil ciento sesenta y siete pesos 82/100 m.n. ), más los rendimientos financieros que se generen desde su disposición hasta su reintegro a la cuenta de la Tesorería de la Federación, por haber realizado pagos con recursos de los Subsidios Federales para Organismos Descentralizados Estatales a 219 empleados de 34 puestos o categorías, de las cuales la universidad no acreditó que dichas plazas se encuentren autorizadas; adicionalmente, de los 44 puestos en 5 de ellos no se acreditó con evidencia documental las funciones que desempeñaron durante el ejercicio 2017.",En seguimiento,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Coahuila,Coahuila de Zaragoza,Cumplimiento Financiero,191,Subsidios Federales para Organismos Descentralizados Estatales,"1,319,029.00","1,111,024.90",Universidad Autónoma de Coahuila,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,4
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Guerrero,Guerrero,Cumplimiento Financiero,192,Subsidios Federales para Organismos Descentralizados Estatales,"1,829,544.10","1,624,285.50",Gobierno del Estado de Guerrero,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Nayarit,Nayarit,Cumplimiento Financiero,193,Subsidios Federales para Organismos Descentralizados Estatales,"1,381,392.20","1,381,392.20",Universidad Autónoma de Nayarit,Informe de Presunta Responsabilidad Administrativa,,,,,1,2
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Nayarit,Nayarit,Cumplimiento Financiero,193,Subsidios Federales para Organismos Descentralizados Estatales,"1,381,392.20","1,381,392.20",Universidad Autónoma de Nayarit,Pliego de Observaciones,2017-4-99026-15-0193-06-001,-,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 112,014,391.02 pesos ( ciento doce millones catorce mil trescientos noventa y un pesos 02/100 m.n. ), más los intereses generados desde su disposición hasta el reintegro a la TESOFE, por no proporcionar la documentación justificativa y comprobatoria del ejercicio de los recursos de los Subsidios Federales para Organismos Descentralizados Estatales.",En seguimiento,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Nayarit,Nayarit,Cumplimiento Financiero,193,Subsidios Federales para Organismos Descentralizados Estatales,"1,381,392.20","1,381,392.20",Universidad Autónoma de Nayarit,Pliego de Observaciones,2017-4-99026-15-0193-06-002,2017-4-99026-15-0193-15-002/EPRA/0115/2019,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 217,230,652.03 pesos ( doscientos diecisiete  millones doscientos treinta mil seiscientos cincuenta y dos pesos 03/100 m.n. ), más los intereses generados desde su disposición hasta el reintegro a la TESOFE, por efectuar erogaciones no financiables con los recursos de los Subsidios Federales para Organismos Descentralizados Estatales.",Con seguimiento concluido,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Nayarit,Nayarit,Cumplimiento Financiero,193,Subsidios Federales para Organismos Descentralizados Estatales,"1,381,392.20","1,381,392.20",Universidad Autónoma de Nayarit,Pliego de Observaciones,2017-4-99026-15-0193-06-003,2017-4-99026-15-0193-15-003/EPRA/0093/2019,"Se presume un probable daño o perjuicio o ambos a la Hacienda Pública Federal  por un monto de 105,982,143.27 pesos ( ciento cinco millones novecientos ochenta y dos mil ciento cuarenta y tres pesos 27/100 m.n. ), más los intereses generados desde su disposición hasta el reintegro a la TESOFE, por efectuar erogaciones no financiables con recursos del U006 por concepto de pago de deuda pública.",Con seguimiento concluido,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Nayarit,Nayarit,Cumplimiento Financiero,193,Subsidios Federales para Organismos Descentralizados Estatales,"1,381,392.20","1,381,392.20",Universidad Autónoma de Nayarit,Recomendación,,,,,1,1
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Nuevo León,Nuevo León,Cumplimiento Financiero,194,Subsidios Federales para Organismos Descentralizados Estatales,"5,072,635.80","4,383,702.10",Gobierno del Estado de Nuevo León,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,2
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Nuevo León,Nuevo León,Cumplimiento Financiero,194,Subsidios Federales para Organismos Descentralizados Estatales,"5,072,635.80","4,383,702.10",Universidad Autónoma de Nuevo León,Promoción de Responsabilidad Administrativa Sancionatoria,,,,,1,3
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de Querétaro,Querétaro,Cumplimiento Financiero,195,Subsidios Federales para Organismos Descentralizados Estatales,"1,326,029.40","944,194.00",-,-,,,,,1,0
2017,Gasto Federalizado,Instituciones Públicas de Educación Superior,Universidad Autónoma de San Luis Potosí,San Luis Potosí,Cumplimiento Financiero,196,Subsidios Federales para Organismos Descentralizados Estatales,"1,844,924.80","1,193,868.30",-,-,,,,,1,0
